"CD_ELEICAO","DS_ELEICAO","CD_PLEITO","DT_ELEICAO","CD_CARGO","DS_CARGO","SG_UF","CD_MUNICIPIO","NM_MUNICIPIO"
6081,"Eleição Suplementar - Ruy Barbosa",3060,"06/04/2025",11,"Prefeito","BA",38458,"RUY BARBOSA"
6120,"Eleição Suplementar Paranhos-MS",3080,"06/04/2025",11,"Prefeito","MS",91847,"PARANHOS"
6042,"Eleição Suplementar de Eldorado",3040,"06/04/2025",11,"Prefeito","SP",63975,"ELDORADO"
6041,"Eleição Suplementar de Neves Paulista",3040,"06/04/2025",11,"Prefeito","SP",67512,"NEVES PAULISTA"
6140,"Eleição Suplementar de Goiana",3100,"04/05/2025",11,"Prefeito","PE",24236,"GOIANA"
6161,"Eleição Suplementar de Bocaina",3160,"08/06/2025",11,"Prefeito","SP",62359,"BOCAINA"
6180,"Eleição Suplementar de Mongaguá",3140,"08/06/2025",11,"Prefeito","SP",67237,"MONGAGUÁ"
6160,"Eleição Suplementar de Panorama",3120,"08/06/2025",11,"Prefeito","SP",68098,"PANORAMA"
6200,"Eleição suplementar Guapé",3180,"06/07/2025",11,"Prefeito","MG",45616,"GUAPÉ"
6235,"Eleição Suplementar de Bandeirantes-MS",3203,"06/07/2025",11,"Prefeito","MS",90298,"BANDEIRANTES"
6237,"Eleição Supl. São José da Varginha",3205,"03/08/2025",11,"Prefeito","MG",52612,"SÃO JOSÉ DA VARGINHA"
6236,"Eleição Suplementar de Guatapará",3204,"03/08/2025",11,"Prefeito","SP",61107,"GUATAPARÁ"
6238,"Eleição Suplementar de Sales Oliveira",3206,"14/09/2025",11,"Prefeito","SP",69990,"SALES OLIVEIRA"
